<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.22	00:35:00	1.08186	1.08190	1.08186	1.08190	17	0	30
2024.02.22	00:36:00	1.08188	1.08191	1.08187	1.08187	25	0	30
2024.02.22	00:37:00	1.08189	1.08191	1.08186	1.08186	12	0	30
2024.02.22	00:38:00	1.08186	1.08189	1.08186	1.08188	12	0	30
2024.02.22	00:39:00	1.08187	1.08195	1.08185	1.08185	19	0	30
2024.02.22	00:40:00	1.08186	1.08189	1.08179	1.08180	20	0	30
2024.02.22	00:41:00	1.08177	1.08180	1.08174	1.08175	21	0	30
2024.02.22	00:42:00	1.08176	1.08180	1.08172	1.08180	18	0	29
2024.02.22	00:43:00	1.08177	1.08180	1.08176	1.08180	14	0	30
2024.02.22	00:44:00	1.08178	1.08179	1.08176	1.08178	68	0	30
2024.02.22	00:45:00	1.08178	1.08180	1.08174	1.08174	11	0	30
2024.02.22	00:46:00	1.08174	1.08190	1.08173	1.08190	4	0	10
2024.02.22	00:47:00	1.08173	1.08174	1.08172	1.08172	18	0	30
2024.02.22	00:48:00	1.08170	1.08189	1.08170	1.08189	3	0	11
2024.02.22	00:49:00	1.08189	1.08190	1.08167	1.08169	19	0	11
2024.02.22	00:50:00	1.08169	1.08176	1.08169	1.08174	15	0	30
2024.02.22	00:51:00	1.08176	1.08177	1.08172	1.08175	11	0	30
2024.02.22	00:52:00	1.08177	1.08177	1.08173	1.08174	12	0	30
2024.02.22	00:53:00	1.08176	1.08179	1.08173	1.08173	10	0	30
2024.02.22	00:54:00	1.08176	1.08190	1.08174	1.08187	10	0	11
2024.02.22	00:55:00	1.08176	1.08179	1.08174	1.08176	11	0	30
2024.02.22	00:56:00	1.08189	1.08189	1.08176	1.08181	7	0	11
2024.02.22	00:57:00	1.08181	1.08183	1.08178	1.08181	19	0	30
2024.02.22	00:58:00	1.08181	1.08187	1.08179	1.08181	11	0	30
2024.02.22	00:59:00	1.08181	1.08196	1.08179	1.08196	30	0	4
2024.02.22	01:00:00	1.08193	1.08207	1.08193	1.08205	65	0	4
2024.02.22	01:01:00	1.08205	1.08219	1.08204	1.08212	42	0	4
2024.02.22	01:02:00	1.08213	1.08219	1.08211	1.08217	8	0	4
2024.02.22	01:03:00	1.08217	1.08217	1.08214	1.08217	11	0	4
2024.02.22	01:04:00	1.08217	1.08218	1.08217	1.08218	4	0	2
2024.02.22	01:05:00	1.08217	1.08219	1.08212	1.08212	11	0	4
2024.02.22	01:06:00	1.08211	1.08222	1.08209	1.08222	23	0	4
2024.02.22	01:07:00	1.08223	1.08226	1.08219	1.08223	19	0	4
2024.02.22	01:08:00	1.08223	1.08224	1.08222	1.08222	10	0	4
2024.02.22	01:09:00	1.08224	1.08224	1.08219	1.08221	11	0	4
2024.02.22	01:10:00	1.08223	1.08223	1.08211	1.08216	13	0	4
2024.02.22	01:11:00	1.08214	1.08216	1.08206	1.08207	18	0	4
2024.02.22	01:12:00	1.08207	1.08211	1.08206	1.08210	15	0	4
2024.02.22	01:13:00	1.08210	1.08212	1.08210	1.08212	24	0	4
2024.02.22	01:14:00	1.08211	1.08211	1.08205	1.08205	16	0	4
2024.02.22	01:15:00	1.08206	1.08214	1.08204	1.08214	20	0	4
2024.02.22	01:16:00	1.08214	1.08219	1.08214	1.08217	8	0	4
